Categoria;Descrição ;Ref.;Saida; Rot ; Rot M ; Rot P ;CV; VC  ; Custo  ; VENDA ; MBR ; IPI ;NV;CL;EX;OR; IQ ;Fornecedor
Telas;AIRCRAFTS TELA SQ. 40X40;MC;1;4,8;34,1;30;C;239,75;10,45;24,9;2,38;3,02;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;BEAUTIFUL COLORS TELA SQ. 62X47;BRCL;13;10,4;12,86;10;B;1888,87;33,35;79,9;2,4;2,4;SU;U;EX;N;0,96154;JARDIM DAS ARTES LTDA
Telas;BEAUTIFUL COLORS TELA SQ. 62X47;PTCL;30;22,3;33,3;10;X;4452,13;33,35;79,9;2,4;2,4;SU;U;EX;N;0,44843;JARDIM DAS ARTES LTDA
Telas;BEAUTIFUL DOGS TELAS 62X47 4VRD;MC;10;11,6;16,61;10;A;2161,86;37,7;88,5;2,35;2,35;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Telas;BEAUTIFUL PEOPLE TELA SQ. 70X22;BRMC;6;11,9;15,3;10;B;1362,7;19,4;49,9;2,57;2,57;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Telas;BELLE PARIS TELA SQ. 40X40 2VRD.;MC;28;32,1;44;50;B;1745,48;6,91;19,9;2,88;3,64;ST;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;BOTANICAL ARMCHAIR TELA SQ. 40X50 2VRD.;MC;18;33,1;45,9;50;A;2442,51;12,32;29,9;2,43;3,08;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;BOUTIQUE DE FLEURS TELA SQ. 40X50;MC;;1,1;41,5;30;C;62,1;8,69;22;2,53;3,21;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;CAFÉ KFE TELA SQ. 40X40 2VRD;MC;5;11,9;48,6;50;C;527,76;6,91;19,9;2,88;3,64;ST;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;CANDIES TELA SQ. 28X28 3VRD;MC;10;6;26,1;15;C;430,06;9,9;24,9;2,52;2,52;ST;U;EX;N;0;METROPOLE DEC. E PRESENTES EIRELI
Telas;CAR CLUB TELA SQ. 20X20 2VRD.;MC;37;25;33,6;60;B;733,52;3,47;9,9;2,85;3,61;ST;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;CORAÇÃO DOCE TELA SQ. 20X20;MC;12;15,7;24,6;40;C;432,03;3,47;9,9;2,85;3,61;ST;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;CROQUIS FESTA TELA SQ. 47X62 4VRD;MC;14;13,7;38,5;30;A;2853,07;37,7;88,5;2,35;2,35;SU;N;EX;N;0,72993;JARDIM DAS ARTES LTDA
Telas;DANDELION TELA SQ. 50X50;MC;1;5,5;8,3;25;C;323,54;9,81;24,9;2,54;3,21;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;FLORAL PÁSSARO TELA SQ. 62X47;MC;17;11,9;22;24;A;2735,02;37,7;88,5;2,35;2,35;SU;R;EX;N;0;JARDIM DAS ARTES LTDA
Telas;FLORAL PICKNIK TELA SQ. 62X47 3VRD.;AZMC;;0;0;10;C;;0;88,5;0;0;SU;R;EX;N;0;
Telas;FOFURAS E COSTURAS TELA CR. 28X28 3VRD.;RCAC;9;6,7;26,3;20;B;780,34;18,07;44,9;2,48;2,48;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Telas;GATE WAY TELA SQ. 30X40 2VRD.;MC;15;14,4;21,6;40;C;555,09;5,93;14,9;2,51;3,19;ST;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;I AM TELA SQ. 40X40 2VRD.;MC;5;7,9;43,4;40;C;331,3;6,91;19,9;2,88;3,64;ST;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;MESSENGER TELA SQ. 40X50 2VRD;MC;15;30,6;42,9;50;B;1617;8,69;22;2,53;3,21;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;NEW YORK PAINT TELA SQ. 30X90 2VRD;MC;36;10,6;27,3;8;A;3163,95;40,9;99,9;2,44;2,44;IN;U;EX;N;0;METROPOLE DEC. E PRESENTES EIRELI
Telas;OLD TRUNKS TELA SQ. 20X20 2VRD.;MC;24;19,9;36,62;60;C;599;3,47;9,9;2,85;3,61;ST;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;PARIS POSTCARD TELA SQ. 40X40 3VRD.;BGMA;;0;0;30;C;;11,03;32;2,9;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;PEQUENO PRÍNCIPE TELA CR. 28X28 3VRD.;MC;9;6,5;30,47;20;B;614,08;18,07;44,9;2,48;2,48;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Telas;POEM BOUQUET TELA SQ. 50X50 2VRD.;MC;36;33,4;41,1;50;X;3243,41;16,33;39,9;2,44;3,09;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;POST MEMORIES TELA SQ. 50X50 2VRD;MC;12;24,3;37,4;40;A;2251,4;16,33;39,9;2,44;3,09;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;SKYLINE TELA SQ. 62X47 2VRD;AVRC;5;3,1;8,5;20;C;250,83;37,7;88,5;1,85;2,32;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Telas;SUMMER BIRD TELA SQ. 40X40 4VRD.;MC;;0;0;50;C;;7,3;24,9;3,41;0;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;VILLE DE PARIS TELA SQ. 40X50;MC;;0;0;20;C;;9,49;29,9;3,15;0;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;WISHING BIRD TELA SQ. 40X40 2VRD.;MC;10;30,6;49;50;A;2169,84;6,91;24,9;3,6;4,55;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Telas;1929 FLOWER EXPO TELA SQ. 40X60;MC;12;11,3;14,5;20;B;1070,82;16,24;39,9;2,46;3,11;IN;R;EX;IMP;0;TERRA NOVA TRADING S/A
Quadros;ABSTRACT QUADRO SQ. 36X69;CTMC;21;15;31;10;B;3 094;37,7;88,5;2,35;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;BARISTA QUADRO CO. 20X20 4VRD.;PTMC;46;38;49;30;A;3 584;13,8;34,9;2,53;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BIKE CYCLE QUADRO SQ. 30X28 2VRD.;TBBG;25;26;27;30;C;1 044;15,9;38,5;2,42;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;BISTRO CAFÉ QUADRO SQ. 33X33 2VRD.;PTMC;20;17;21;15;A;3 258;29,9;74,9;2,51;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BISTRO QUADRO CO. 4VRD 18X33;PTMC;50;35;47;20;B;2 727;12,9;29,9;2,32;0;ST;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;BLOSSOM QUADRO SQ. 2VRD 83X83;NTMC;13;13;46;5;X;6 226;80,6;199,9;2,48;0;SU;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;CANDID QUADRO SQ. 22X22 C/3;BRIN;;0;0;20;C;;52,43;139,9;2,67;0;IN;U;EX;IMP;0;TERRA NOVA TRADING S/A
Quadros;CÉU & MAR QUADRO SQ. 2VRD 53X22;BRMC;25;13;42;10;B;2 322;29,48;72;2,44;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COFFEE SHOP QUADRO SQ. 72X73;NTMC;16;13;30;14;A;5 273;64,87;159,9;2,46;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COFFEE-BREAK QUADRO CO. 3VRD 26X34;PTMC;21;28;58;24;A;3 797;21,97;54,9;2,5;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;COKE PIN-UPS CLOSE PLACA SQ 2VRD 31X40;MC;;2;3;15;C;617;41,8;99,9;2,39;0;IN;U;EX;IMP;0;ALIMPORT DIST. I. E C. DE UTIL. D
Quadros;CORUJA-TOON QUADRO CR. 33X33 2VRD.;BRMC;23;23;24;20;C;1 154;23,9;54,9;2,3;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DE BIASI QUADRO SQ. VRD. 32X42;PT;10;17;24;10;B;2 928;27,98;69,9;2,5;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DISTINI VINI QUADRO CO. 4VRD 13X28;NTMC;44;31;62;25;B;2 907;14,95;37,5;2,51;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;DOUX MESSAGES QUADRO SQ. 2VRD 30X35;BPMC;15;17;29;10;A;3 719;35;82;2,34;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;DOWNTOWN QUADRO SQ. 23X28 4VRD.;PTMC;;1;3;25;C;-4;13;29,9;2,3;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;EIGHTIES QUADRO SQ. 34X23 3VRD.;NTMC;5;13;19;25;C;650;19,9;44,9;2,26;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;ERVAS QUADRO CO. 3VRD. 20X20;BRCT;27;28;46;12;B;3 062;18,81;44,9;2,39;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;EXOTIQUES QUADRO SQ. 4VRD 27X57;NTMC;22;18;32;15;A;3 375;34,9;79,9;2,29;0;IN;N;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;FIORI GRIGIO QUADRO SQ. 2VRD 52X52;PTBR;12;20;39;12;X;5 364;50,7;119,9;2,36;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;FLORES RAIO-X QD. SQ. 30X30 2VRD.;BRAV;;0;0;0;C;;0;;0;0;IN;U;EX;N;0;
Quadros;FLORES RAIO-X QD. SQ. 30X30 2VRD.;BRTU;;0;0;0;C;;0;;0;0;IN;U;EX;N;0;
Quadros;FRESH FRUIT QUADRO CO. 3VRD 32X32;GAMC;10;19;32;10;B;2 729;26;59,9;2,3;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;HERBE DE PROVENCE QUADRO SQ. 2VRD 22X22;BPMC;40;31;37;12;B;2 658;14,9;34,9;2,34;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;HIPNOTIC QUADRO SQ. 2VRD 43X43;PT;20;19;22;12;A;3 598;29,38;72;2,45;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;JETRO QUADRO SQ. 4VRD 36X44;MC;8;7;11;18;C;1 234;31,9;74,9;2,35;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;KINDNESS QUADRO SQ. 24X29 3VRD.;PTVM;12;14;17;35;C;428;14,9;34,9;2,34;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;LIBÉLULA POST CARD QUADRO SQ. 37X29 4VRD;BPMC;5;6;8;20;C;908;27,5;69,9;2,54;0;IN;R;EX;N;2;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;LOUCAS QUADRO CO. 3VRD. 20X20;BRBP;25;24;44;10;A;3 365;18,81;49,9;2,65;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MABRIER QUADRO SQ. 4VRD 22X22;BPMC;68;57;103;20;A;5 059;12,49;34,5;2,76;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MADEMOISELLE QUADRO SQ. 4VRD. 13X28;PTMC;36;32;49;22;B;2 778;10,5;29,9;2,85;0;ST;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;MAMORA QUADRO SQ. 3VRD 30X30;TBZA;32;29;64;30;B;2 421;14,5;34,9;2,41;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MAPA-MUNDI QUADRO SQ. 33X33 2VRD.;GABG;36;32;32;25;C;1 310;16,9;39,9;2,36;0;IN;R;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;MAPSTER QUADRO SQ. 30X57 C/3;BR;7;5;5;10;C;892;102,8;259,9;2,53;0;SU;U;EX;IMP;0;TERRA NOVA TRADING S/A
Quadros;MINEROBULOS QUADRO SQ. 4VRD 62X62;BRMI;10;9;22;6;A;3 236;84;192;2,29;0;SU;U;EX;N;1;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;MONDRIAN QUADRO SQ. 3VRD 47X47;BRMC;12;17;26;6;A;3 619;44,5;96;2,16;0;IN;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;NATUREZA VIVA QUADRO SQ. 3VRD 46X46;GANT;13;12;36;10;B;2 883;50;112;2,24;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;NIGHT IN PARIS QUADRO SQ. 83X83;PTBR;12;12;25;8;A;5 328;77,87;194,9;2,5;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;NOVA YORK QUADRO SQ. 2VRD 73X73;PTBR;4;6;21;4;B;2 983;118,3;259,9;2,2;0;SU;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;O'CLOCK QUADRO SQ. 32X32 4VRD.;PTBR;;0;2;20;C;;17;39,9;2,35;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;PAISAGEM BUCÓLICA QUADRO SQ. 28X28 2VRD;GAMC;18;13;17;25;C;1 464;19;44,9;2,36;0;IN;R;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;PARC NATUREL QUADRO SQ. 23X28 4VRD.;NZMC;;0;0;0;C;;0;;0;0;ST;R;EX;N;0;
Quadros;PARIS QUADRO SQ. 4VRD 28X28;PTBR;38;48;114;25;A;5 194;17,55;44,9;2,56;0;IN;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;POP LADRILHO QUADRO SQ. 3VRD 53X53;AUBG;7;8;18;4;A;5 153;115;265;2,3;0;SU;U;EX;N;0;ARTIMAGE INDUSTRIA E COMERCIO LTDA
Quadros;RECIFLOR QUADRO SQ. 6VRD. 15X15;TBCM;84;81;681;40;A;4 289;9,97;24,9;2,5;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;ROUGE VINS QUADRO SQ. 28X58 2VRD.;PTVH;13;13;13;14;C;1 208;32,9;79,9;2,43;0;IN;N;EX;N;0;JARDIM DAS ARTES LTDA
Quadros;SCRITTORI QUADRO SQ. 33X33 2VRD.;NTCL;19;26;31;20;C;834;13;29,9;2,3;0;ST;U;EX;N;0;JARDIM DAS ARTES LTDA
